loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
,,,3.62874251497006,150,1.0128775835037231,5.0744,29.363,3.744
0.9537,0.2756126821041107,1.6317073170731708e-05,3.6526946107784433,151,,,,
,,,3.6526946107784433,151,1.0112439393997192,5.0749,29.36,3.744
0.9778,0.2880648970603943,1.629268292682927e-05,3.6766467065868262,152,,,,
,,,3.6766467065868262,152,1.0100594758987427,5.0751,29.359,3.744
1.0049,0.2666134238243103,1.626829268292683e-05,3.7005988023952097,153,,,,
,,,3.7005988023952097,153,1.0093661546707153,5.0749,29.36,3.744
0.9832,0.342324435710907,1.6243902439024394e-05,3.724550898203593,154,,,,
,,,3.724550898203593,154,1.0070892572402954,5.0751,29.359,3.744
0.9525,0.3025888204574585,1.6219512195121953e-05,3.748502994011976,155,,,,
,,,3.748502994011976,155,1.004860758781433,5.0754,29.358,3.744
0.9816,0.26116320490837097,1.6195121951219515e-05,3.772455089820359,156,,,,
,,,3.772455089820359,156,1.0029810667037964,5.0776,29.345,3.742
0.9503,0.28382647037506104,1.6170731707317074e-05,3.7964071856287425,157,,,,
,,,3.7964071856287425,157,1.0008846521377563,5.0764,29.352,3.743
0.9143,0.26135125756263733,1.6146341463414636e-05,3.820359281437126,158,,,,
,,,3.820359281437126,158,0.999504029750824,5.0753,29.358,3.744
1.0282,0.3282203674316406,1.61219512195122e-05,3.844311377245509,159,,,,
,,,3.844311377245509,159,0.9979432225227356,5.0754,29.357,3.744
0.9723,0.2568257451057434,1.6097560975609757e-05,3.8682634730538923,160,,,,
,,,3.8682634730538923,160,0.9962940812110901,5.0772,29.347,3.742
1.0024,0.30051934719085693,1.607317073170732e-05,3.8922155688622757,161,,,,
,,,3.8922155688622757,161,0.995388388633728,5.077,29.348,3.742
0.9742,0.2734929025173187,1.604878048780488e-05,3.9161676646706587,162,,,,
,,,3.9161676646706587,162,0.9937139749526978,5.0769,29.348,3.742
0.9487,0.2509881258010864,1.602439024390244e-05,3.9401197604790417,163,,,,
,,,3.9401197604790417,163,0.9928467273712158,5.0762,29.352,3.743
0.9352,0.28907307982444763,1.6000000000000003e-05,3.964071856287425,164,,,,
,,,3.964071856287425,164,0.9911226630210876,5.0768,29.349,3.742
1.7957,0.6268283128738403,1.597560975609756e-05,3.9880239520958085,165,,,,
,,,3.9880239520958085,165,0.9894678592681885,5.0773,29.346,3.742
0.9309,0.2587292194366455,1.5951219512195124e-05,4.023952095808383,166,,,,
,,,4.023952095808383,166,0.9877538681030273,5.0754,29.357,3.744
0.8902,0.25538402795791626,1.5926829268292686e-05,4.047904191616767,167,,,,
,,,4.047904191616767,167,0.9874358773231506,5.0752,29.359,3.744
0.9383,0.3300488591194153,1.5902439024390245e-05,4.07185628742515,168,,,,
,,,4.07185628742515,168,0.9872967004776001,5.0777,29.344,3.742
0.9427,0.3132021725177765,1.5878048780487807e-05,4.095808383233533,169,,,,
,,,4.095808383233533,169,0.9860543012619019,5.0769,29.348,3.742
0.96,0.3349097967147827,1.585365853658537e-05,4.119760479041916,170,,,,
,,,4.119760479041916,170,0.9847000241279602,5.0788,29.338,3.741
0.9604,0.3277794420719147,1.5829268292682928e-05,4.1437125748503,171,,,,
,,,4.1437125748503,171,0.9835112690925598,5.0755,29.357,3.743
0.9551,0.23753729462623596,1.580487804878049e-05,4.167664670658683,172,,,,
,,,4.167664670658683,172,0.9813885688781738,5.0764,29.352,3.743
0.9798,0.3026653528213501,1.5780487804878052e-05,4.191616766467066,173,,,,
,,,4.191616766467066,173,0.9796470403671265,5.0767,29.35,3.743
0.9422,0.28731316328048706,1.575609756097561e-05,4.2155688622754495,174,,,,
,,,4.2155688622754495,174,0.97873455286026,5.0762,29.353,3.743
0.9785,0.26472604274749756,1.5731707317073173e-05,4.2395209580838324,175,,,,
,,,4.2395209580838324,175,0.9777784943580627,5.0754,29.357,3.744
0.8764,0.29655173420906067,1.5707317073170732e-05,4.263473053892215,176,,,,
,,,4.263473053892215,176,0.9757848381996155,5.0752,29.359,3.744
0.9226,0.2793521285057068,1.5682926829268294e-05,4.287425149700598,177,,,,
,,,4.287425149700598,177,0.9751830697059631,5.0758,29.355,3.743
0.9563,0.3047544062137604,1.5658536585365857e-05,4.311377245508982,178,,,,
,,,4.311377245508982,178,0.9733939170837402,5.076,29.354,3.743
0.9174,0.2701953947544098,1.5634146341463415e-05,4.335329341317365,179,,,,
,,,4.335329341317365,179,0.9724522829055786,5.0765,29.351,3.743
0.9099,0.24976982176303864,1.5609756097560978e-05,4.359281437125748,180,,,,
,,,4.359281437125748,180,0.9718124270439148,5.0762,29.353,3.743
0.9804,0.3317607343196869,1.558536585365854e-05,4.383233532934132,181,,,,
,,,4.383233532934132,181,0.9701991677284241,5.0776,29.345,3.742
0.974,0.30926236510276794,1.55609756097561e-05,4.407185628742515,182,,,,
